random_32,lru_32random_64,lru_64random_128,lru_128random_256,lru_256random_512,lru_512random_1024,lru_1024random_2048,lru_2048random_4096,lru_4096random_8192,lru_8192
0.250386,0.235739,0.206693,0.214070,0.143046,0.131867,0.014471,0.001418,0.002571,0.001418,0.000741,0.001382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.253986,0.239969,0.208402,0.218046,0.142680,0.127888,0.014532,0.001474,0.002632,0.001400,0.000863,0.001326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.256976,0.242246,0.212002,0.220798,0.147501,0.131119,0.020085,0.002018,0.003731,0.001943,0.001961,0.001906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.252949,0.240044,0.206571,0.219106,0.138653,0.124335,0.009406,0.000988,0.001595,0.000950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.266069,0.251588,0.220851,0.230516,0.155434,0.134180,0.012884,0.000620,0.000314,0.000310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.259539,0.246689,0.212490,0.224430,0.143901,0.125872,0.004829,0.000353,0.000192,0.000353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.270523,0.255496,0.223291,0.234869,0.155007,0.131059,0.010932,0.000598,0.000375,0.000319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.262529,0.250324,0.213284,0.228610,0.140605,0.121010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.278944,0.263923,0.231530,0.244323,0.162085,0.132604,0.012579,0.000912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.274002,0.259774,0.224573,0.239079,0.153298,0.127133,0.011359,0.000751,0.000863,0.000709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333560,0.310868,0.269791,0.251465,0.180636,0.170325,0.010993,0.000852,0.000802,0.000639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.418748,0.484629,0.330021,0.252861,0.224329,0.206215,0.049132,0.008717,0.013861,0.008052,0.008674,0.006055,0.006172,0.005989,0.000497,0.005922,0.000000,0.000000
0.410815,0.479735,0.323918,0.245269,0.220484,0.213318,0.022465,0.002619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.406421,0.477918,0.318304,0.240608,0.212002,0.208923,0.022709,0.003298,0.002877,0.003233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.410449,0.483037,0.324406,0.252913,0.216396,0.211561,0.019475,0.002689,0.002510,0.002496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.429976,0.507817,0.340089,0.259929,0.232384,0.226579,0.021122,0.002333,0.003060,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.414354,0.491935,0.325749,0.252667,0.213894,0.216129,0.017522,0.002730,0.004036,0.002667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.434797,0.511300,0.347290,0.271697,0.237022,0.233356,0.027896,0.003797,0.006477,0.003614,0.002083,0.003614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.423081,0.502519,0.335330,0.264455,0.221827,0.228047,0.021366,0.003479,0.005867,0.003419,0.002266,0.003359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.429976,0.508460,0.342164,0.270537,0.227441,0.233897,0.017095,0.002509,0.004280,0.002509,0.000985,0.002509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.444805,0.522243,0.354857,0.281909,0.237693,0.242044,0.016607,0.002338,0.003792,0.002110,0.000741,0.002110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.440228,0.425383,0.357542,0.290237,0.243978,0.253329,0.022160,0.003149,0.005562,0.003149,0.003060,0.003094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.418260,0.381389,0.337221,0.276418,0.219691,0.245795,0.019109,0.003666,0.006233,0.003666,0.004097,0.003666,0.000558,0.003666,0.000000,0.000000,0.000000,0.000000
0.451212,0.415426,0.368770,0.304509,0.250996,0.267793,0.027591,0.004467,0.007758,0.004365,0.005317,0.004313,0.002632,0.004313,0.000000,0.000000,0.000000,0.000000
0.450480,0.346197,0.370052,0.309375,0.249043,0.274618,0.021977,0.003736,0.006416,0.003687,0.004341,0.003589,0.001778,0.003589,0.000000,0.000000,0.000000,0.000000
0.460549,0.338618,0.379998,0.319768,0.255817,0.285708,0.019292,0.003180,0.005501,0.003134,0.003731,0.003134,0.001351,0.003134,0.000000,0.000000,0.000000,0.000000
0.462745,0.351365,0.386101,0.330451,0.260515,0.297014,0.024784,0.004430,0.007575,0.004387,0.005440,0.004387,0.003731,0.004302,0.000000,0.000000,0.000000,0.000000
0.469824,0.367998,0.395681,0.344479,0.265275,0.313484,0.020207,0.003682,0.006172,0.003569,0.004402,0.003569,0.002693,0.003419,0.000000,0.000000,0.000000,0.000000
0.251057,0.224376,0.208097,0.192314,0.140666,0.123556,0.056028,0.022736,0.025821,0.014782,0.018376,0.013928,0.015264,0.013684,0.012274,0.013471,0.005317,0.009357
0.232201,0.209000,0.197967,0.167078,0.144999,0.153104,0.049254,0.012028,0.019719,0.011592,0.013617,0.010197,0.011298,0.009616,0.009223,0.009529,0.002816,0.009500
