random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.054014,0.039407,0.018071,0.008852,0.011237,0.008386,0.007331,0.007105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.073663,0.060942,0.023014,0.009426,0.012640,0.008926,0.006782,0.007310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110765,0.117412,0.028750,0.004891,0.008063,0.004853,0.000314,0.000672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.113694,0.119735,0.033876,0.006139,0.011115,0.006139,0.006477,0.006139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.036134,0.008946,0.015081,0.008867,0.010443,0.008631,0.006416,0.006778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090994,0.107935,0.024906,0.007403,0.010443,0.006948,0.003365,0.002847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110216,0.117131,0.031679,0.006024,0.010443,0.006024,0.004036,0.005280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.093435,0.107224,0.023441,0.006341,0.009711,0.006039,0.005195,0.005322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033144,0.008828,0.014593,0.008828,0.010565,0.008710,0.007087,0.007685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.107836,0.115587,0.034120,0.007726,0.011786,0.007201,0.001595,0.003788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
